Access;Gestor de bases de datos, realizado por Microsoft.
Base de datos;Aplicacion informatica para manejar informacion en forma de "fichas";clientes, articulos, peliculas, etc. La mayoria de las bases de datos actuales permiten hacer listados, consultas, crear pantallas de visualizacion de datos, controlar el acceso de los usuarios, etc. Tambien es cada vez mas frecuente que las consultas se puedan hacer en un lenguaje estandar conocido como SQL.
Basic;Lenguaje de programacion inicialmente disenyado para principiantes (Beginners All-purpose Symbolic Instruction Code).
BAT;Extension de un fichero formado por un lote (batch) de ordenes de Dos.
Baudios;Bits por segundo que en teoria es capaz de transmitir/recibir un modem o una conexion serie entre dos equipos, o entre un equipo y un dispositivo externo.
BCD;Numero decimal codificado en binario (Binary Coded Decimal). Se usan estas siglas para referirse a una forma especial de codificar numeros decimales en binario, usando 4 bits para cada digito decimal, de modo que en un byte se pueden almacenar dos numeros decimales.
Binario;sistema de numeracion en base 2, de modo que solo hay dos digitos posibles;el 0 y el 1. Para formar numeros "grandes", se usan varios digitos binarios, que representan cada una de las potencias de 2. Por ejemplo, el numero decimal 13 se representa 1101 (1x8 + 1x4 + 0x2 + 1x1).
BIOS;Sistema de entrada/salida basica (Basic Input Output System). Suele tratarse de uno o varios chips de memoria ROM (habitualmente EPROMs) que contienen las rutinas basicas de entrada y salida, los primeros pasos que debe dar un ordenador al encenderse, la configuracion basica del sistema, etc.
Bit;Es la unidad minima de informacion que puede almacenar y manejar un ordenador, equivalente a un 0 o un 1.
Bitmap;(o mapa de bits). Un tipo de imagenes para ordenador, en las que se almacena informacion sobre los puntos que las componen y el color de cada punto (al contrario que en las imagenes vectoriales). Esto supone que al ampliar la imagen se pierde definicion, se ven "puntos gordos".
BMP;Es la Extension que corresponde a un tipo de fichero grafico de mapa de bits (el estandar en Windows);BitMaP.
Boot;ver arranque.
Borland;Conocido fabricante de software, autor de lenguajes como Turbo Pascal, Turbo C++, Delphi, C++Builder, JBuilder, etc., y de aplicaciones como Paradox, Quattro Pro, etc. Actualmente ha cambiado de nombre y se llama Inprise.
Bps;Bits por segundo;es la unidad en que se mide la velocidad de transferencia efectiva de un modem o de una conexion serie.
BSD;Berkeley Software Distribution, de la Universidad de California en Berkeley, autora de una version de UNIX que lleva su mismo nombre.
Buffer;memoria intermedia para el almacenamiento de datos temporales en la comunicacion entre un ordenador y un dispositivo externo (p.ej., una impresora). Cuando es un programa informatico el que hace la mision de almacenamiento intermedio para los datos que se envian a la impresora, a dicho programa se le suele llamar Spooler.
Bug;error en un programa, que hace que en ciertas circunstancias pueda no comportarse correctamente.
Byte;Es la unidad basica de informacion. En la practica, se puede considerar que un byte es la cantidad de espacio necesaria para almacenar una letra. Tiene multiplos como el Kilobyte, Megabyte, Gigabyte y Terabyte. Internamente, corresponde a 8 bits.
C;Lenguaje de programacion estructurado, de proposito general, cuyo uso esta muy extendido.
C++;Lenguaje de programacion orientado a objetos, basado en el lenguaje C.
Cache;Es un tipo de memoria especial, mas rapida que la RAM normal (y mas cara), que se pone en el camino de los datos que van del procesador a la memoria RAM. Asi, toda informacion que va de la RAM al procesador se deja almacenada temporalmente en la memoria cache. A la hora de volver a leer informacion, se comprueba primero si esta en la memoria cache; si se encuentra alli, no hace falta ir a la RAM a buscar. En la practica, es muy frecuente realizar operaciones repetitivas o trabajar con datos repetitivos, lo que hace que poseer memoria cache ayude a acelerar el funcionamiento normal del ordenador. Hoy en dia es frecuente distinguir tambien la memoria cache de "primer nivel" y de "segundo nivel". La de primer nivel se encuentra dentro del propio procesador. La de segundo nivel se encuentra en la placa base, es de mayor tamanyo y algo mas lenta.
CAD;Disenyo asistido por ordenador (Computer Aided Design).
Caldera;Una de las casas especializadas en realizar distribuciones de Linux, en concreto la conocida como OpenLinux.
CAM;Fabricacion asistida por ordenador (Computer Aided Manufacturing).
Campo;En el mundo de las bases de datos, cada una de los datos que forman un registro (o ficha). Por ejemplo, en la ficha de cada proveedor tendriamos campos como su nombre, su direccion postal, su telefono, etc.
Canon;Conocido fabricante de impresoras, ordenadores y otros tipos de hardware.
CASE;Ingenieria de Software Asistida por Ordenador (Computer Aided Sofware Engineering).
CCD;Dispositivo empleado para captar imagenes. En los scanners, suele tratarse de una fila de celulas que se desplaza, y en las camaras digitales de una matriz bidimensional. Cada celula esta formada por una fotocelula y un condensador. La carga que adquiere el condensador dependera de la cantidad de luz recibida por la fotocelula. (Charge Coupled Device).
CD;Normalmente se refiere a Compact Disc. Otras abreviaturas relacionadas son;CD-ROM, CD-R y CD-RW. Un Compact Disc para ordenador sera capaz de almacenar cerca de 650 Mb de informacion.
CD-R;Es un Compact Disc en el que se puede grabar informacion (Recordable), pero no borrar ni modificar la ya existente.
CD-ROM;Es un Compact Disc pregrabado, del que se puede leer informacion pero no borrarla ni modificarla (Read Only Memory). Tambien se suele usar este mismo nombre para el aparato encargado de leer estos Compact Disc para ordenador (seria mas adecuado llamarlo "Lector de CD-ROM").
CD-RW;Es un Compact Disc en el que se puede grabar informacion y tambien borrar o modificar la ya existente (Recordable-Writable).
Celeron;Ver Pentium.
Centronics;es una conexion estandar paralelo, usada para conectar un ordenador y una impresora. En el ordenador, suele ser un conector DB25 hembra.
Chicago;Nombre en clave dado a Windows 95 durante su proceso de desarrollo.
Chorro de tinta;ver inyeccion.
CGA;Adaptador grafico a color (Color Graphics Adapter). Una de las primeras tarjetas graficas existentes en los PC y compatibles. Permitia resoluciones de 320x200 puntos con 4 colores y de 640x200 puntos en 2 colores.
CGM;Es la Extension que corresponde a un tipo de fichero grafico vectorial;Computer Graphics Metafile.
CISC;Un tipo de procesadores que reconoce un conjunto amplio de ordenes, pero que normalmente realiza los pasos indicados por esas ordenes con menor velocidad que un procesador RISC. Es el caso de la serie X86 de Intel.
Clave;En el mundo de las bases de datos, se conoce como clave (en ingles Key) al valor de es capaz de distinguir un registro de otro de forma fiable, como podria ser el DNI o el Pasaporte para el caso de una persona (el nombre no seria una clave correcta, ya que si puede repetirse).
Clipper; Compilador de lenguaje Xbase, desarrollado por Nantucket.
Clonico;La expresion "clonico" se suele usar casi como sinonimo de "compatible", aunque llevado a un nivel todavia mas marcado;un ordenador que sea clonico de otro se parece tanto al original (al menos internamente) como permitan las leyes de copyright.
Cluster;Un disco duro (y cualquier otro medio de almacenamiento que tenga acceso directo, no secuencial) esta dividido en "paginas" en las que podemos guardar informacion. Cada fichero puede ocupar una o mas paginas, pero cada pagina solo puede estar ocupada por un unico fichero.  El tamanyo de esas paginas (que son los clusters) influira en la cantidad de espacio desperdiciado en el disco;si hay paginas de tamanyo grande, y tenemos almacenados muchos ficheros de pequenyo tamanyo, se desperdiciara mucho espacio  (por ejemplo, con clusters de 32.768 bytes -32K-, un fichero de 200 bytes estaria desaprovechando los 32.568 bytes sobrantes del cluster, porque en ese mismo cluster no se guardara informacion de ningun otro fichero); con clusters pequenyos, se desperdicia menos espacio al almacenar ficheros, pero el indice de contenido del disco ocupara mas espacio, ya que hay mayor cantidad de clusters que controlar. En el sistema operativo MsDos (y Windows, hasta su version Windows 95), el tamanyo de los clusters es mayor cuanto mayor sea el disco duro, pudiendo llegar hasta los 32K de un disco duro de 2Gb (maximo tamanyo que es posible manejar "a la vez" en estos sistemas). En Windows 98 (y en la actualizacion de Windows 95 llamada OSR2) se puede optar por un tamanyo de cluster de 4K. En algunos sistemas Unix, el tamanyo de cluster puede ser fijado al instalar el sistema (por ejemplo, eligiendo entre 1, 2 o 4K).
CMY;Descomposicion de colores en funcion de tres componentes basicos;azul claro (Cyan), violeta (Magenta) y amarillo (Yellow). Es la descomposicion habitual en las impresoras. Se trata de colores substractivos;cuanto mayor es la cantidad estos, mas se aproxima el color resultante al negro. Cada vez es mas frecuente anyadir mas colores base, buscando negros mas pros (CMYK, con negro -blacK) o mayor fidelidad en los colores intermedios (CcMmYK, con dos tonos adicionales de Cyan y Magenta).
CMYK;Ver CMY.
Cobol;Lenguaje de programacion enfocado a aplicaciones de gestion, hoy bastante en desuso (COmmon Businness-Oriented Language).
Codigo Maquina;es el lenguaje en el que el ordenador es capaz de reconocer ordenes. Los programas que se creen en otros lenguajes deberan traducirse previamente a Codigo Maquina (compilarse) o el ordenador no podra entenderlos.
COM;Es la extension que corresponde a un tipo de fichero ejecutable bajo MsDos. // COM;Nombre que reciben bajo DOS los puertos serie (para conectar modem o raton, por ejemplo). Lo habitual es que un ordenador tenga dos puertos de este tipo, que se designarian COM1 y COM2.
Coma (fija y flotante);La expresion "coma fija" (en ingles fixed point) se usa para referirse a numeros con una cantidad de cifras decimales constante. Estos numeros son mas sencillos de manipular (pero menos utiles en la practica) que los numeros en "coma flotante" (en ingles, Floating Point), con un numero variable de cifras decimales.
Commodore;Casa desarrolladora de hardware, hoy desaparecida, creadora de ordendores como el PET, Vic20, C16, C64, C128, Amiga y algunos compatibles PC (PC-10, PC-20, etc).
Communicator;Ver Netscape.
Compaq;Prestigioso fabricante de ordenadores.
Compatible;Se dice que un ordenador es compatible con otro cuando puede utilizar todo el software disenyado para aquel (a veces incluso todo o parte del hardware). Hoy en dia es frecuente hablar de ordenadores "compatibles" refiriendose a ordenadores "compatibles PC", con procesadores de la gama x86.
Compilador;Aplicacion informatica que se usa para crear programas en un cierto lenguaje de programacion. Convierte los programas creados en un lenguaje de programacion al lenguaje interno del ordenador (codigo maquina). En los compiladores, todo el programa original (fuente) se convierte a codigo maquina en bloque, y el programa resultante (programa ejecutable) se puede en otro ordenador usar sin necesidad de recurrir otra vez al compilador. En los interpretes, el programa fuente se convierte a codigo maquina, linea por linea, justo en el momento en que se pone a funcionar; no se crea ningun ejecutable, y por eso es necesario distribuir el programa fuente pero tambien el interprete que es capaz de entenderlo.
Compresor;Aplicacion informatica que se encarga de "comprimir" la informacion para que ocupe menos espacio y asi facilitar su almacenamiento y su transporte. En la gran mayoria de los casos, esta compresion se realiza sin ningun tipo de perdida;los datos se pueden "descomprimir" para que vuelvan a quedar exactamente como estaban.
Concurrente;Un ordenador realiza varias tareas de forma concurrente cuando dispone de un solo procesador, y dedica un breve espacio de tiempo a cada una de las tareas sucesivamente.
Controlador;Se suele llamar controlador (driver, en ingles) al programa necesario para que un cierto programa o sistema operativo sea capaz de utilizar un dispositivo (por ejemplo, una impresora).
Controladora;Se suele llamar "tarjeta controladora" a la tarjeta de circuito impreso que hay que instalar a un ordenador para que sea capaz de trabajar con un cierto dispositivo (por ejemplo, la controladora de disco curo, que hoy en dia suele venir integrada en la placa base de casi cualquier ordenador personal)..
Coprocesador;Procesador auxiliar disenyado para descargar de trabajo al procesador principal. Cuando se usa solo la palabra "coprocesador", es habitual referirse a coprocesadores matematicos, encargados de realizar operaciones con numeros reales (con decimales, tambien llamados de "coma flotante"). La mayoria de los procesadores actuales ya llevan incorporado el coprocesador matematico (por ejemplo, toda la gama Pentium y la mayoria de los 486).
CORBA;Common ORB Architecture, un estandar basado en ORB.
Corel;Conocido fabricante de software, autor de paquetes como Corel Draw y que adquirio y desarrolla tambien otros como Ventura Publisher y WordPerfect.
CPC;Gama de ordenadores desarrollados por Amstrad a mediados-finales de los anyos 80, basados en el procesador Z80. Tenian capacidad de realizar graficos con 16 colores (de una paleta de 27 colores) a 160x200 puntos, 4 colores en 320x200 y 2 colores en 640x480. Podian reproducir sonido stereo (3 canales). Se distribuian con monitor en color o en fosforo verde. Las 3 versiones mas difundidas fueron el CPC 464 (64k de memoria, unidad de cinta incorporada), CPC 664 (64k de memoria, unidad de disco de 3" y 178K por cara), CPC 6128 (128k de memoria, unidad de disco de 3" y 178K por cara).
CP/M;Sistema operativo "profesional" creado por Digital Research, que fue bastante usado en ordenadores de 8 bits.
Cps;caracteres por segundo;era la unidad en que se media la velocidad de impresion en las impresorasmatriciales.
CPU;Unidad Central de Proceso (Central Processing Unit). Ver "procesador".
Cracker;persona que intenta romper las protecciones de un cierto sistema informatico, normalmente con fines maliciosos (distinto de un "hacker", que procura profundizar en un cierto sistema para aprender de el).
CRC;Codigo de redundancia ciclica, un codigo de comprobacion que se suele anyadir a los datos transmitidos en muchas comunicaciones, y que permiten detectar (hasta cierto punto) si se ha producido algun error en la transmision.
Cyrix;Conocido fabricante de procesadores, compatibles con la serie X86 de Intel.
DAC;Conversor de digital a analogico.
Dbase;Gestor de bases de datos, realizado por Ashton Tate y posteriormente adquirido y mejorado por Borland.
DBF;Es la extension que corresponde a un tipo de fichero de bases de datos,  originalmente utilizado por Dbase, pero que es frecuente encontrar en todo tipo de aplicaciones.
DCE;Equipo de comunicacion de datos, nombre que suele recibir en una comunicacion el modem utilizado por un ordenador para conectarse con otro equipo (Data Communication Equipment).
DD;Doble densidad (Double Density). En el caso de diskettes de 3 1/2", la expresion Doble Densidad hace referencia a que tienen una capacidad de 720 Kb (formateado; 1 Mb nominal). Este tipo de diskettes ya estan obsoletos. // DD;Disco duro (muy poco utilizado con este significado).
Decimal;Sistema de numeracion en base 10, el que usamos habitualmente.
Dell;Prestigioso fabricante de ordenadores, que no suele vender a traves de tiendas que actuen de intermediarias, sino directamente por telefono o Internet..
DIMM;Tipo de modulos de memoria RAM (Dual In-Line Memory Module).
Disco duro;Es un dispositivo de almacenamiento, que nacio como evolucion del diskette. Tiene una capacidad mucho mayor (hoy en dia es habitual que pasen de los 2.5Gb) y es mucho mas rapido, pero no esta disenyado para ser llevado de un sitio a otro, sino para permanecer dentro del ordenador (salvo algunas pocas excepciones, que si son portables).
Disco fijo;Ver disco duro.
Disco flexible;Ver diskette.
Disco Winchester;Ver disco duro.
Diskette (o floppy disk, o disquete);Es un dispositivo de almacenamiento de informacion. El diskette tiene poca capacidad (habitualmente 1.44 Mb), pero tiene la ventaja de poderse llevar de un sitio a otro (es extraible).
Disquete;Ver Diskette.
DMA;Acceso directo a memoria, un proceso que permite a un dispositivo (externo o interno) transferir datos a la memoria del ordenador a lata velocidad, sin que estos datos pasen por el procesador (Direct Memory Access).
DNS;Servidor de nombres de dominio (Domain Name Server).
DOC;Extension de los ficheros de creados con Word y otros procesadores de texto (abreviatura de DOCument).
DOS;Sistema operativo de disco (Disk Operating System). Se trata de un sistema operativo monousuario y monotarea. Hay diversas versiones, con distintos nombres segun la casa que lo desarrolle;MsDos (Microsoft), DrDos (Digital Research), PcDos (IBM), Novell Dos (Novell), etc.
Dot Pich;Es la separacion entre los puntos basicos rojo, verde o azul que se iluminan en un monitor en color para representar un punto de la imagen.Valores frecuentes son 0.28 y 0.26mm de separacion.
Download;ver Bajar.
DPI;Puntos por pulgada (Dots Per Inch), ver PPP.
DPMI;Una serie de funciones que permitian a programas de DOS trabajar en modo protegido, aprovechando toda la memoria existente (Dos Protected Mode Interface).
DRAM;Memoria RAM dinamica.
Driver;ver controlador.
DSP;Procesador digital de senyal (Digital Signal Processor).
DSTN;Ver Dual Scan (Dualscan SuperTwist Nematic).
Dual Scan;Tipo de pantalla LCD en color para ordenadores portatiles. Ofrece menos contraste y peor angulo de vision que las TFT, a cambio de un precio inferior.
DTE;Equipo terminal de datos, nombre que suele recibir en una comunicacion el ordenador que recibe o envia los datos (Data Terminal Equipment).
DVD;Disco digital mejorado, con una capacidad muy superior al CD. (Digital Video Disk o Digital Versatile Disk). Al igual que en los CD, hay distintas variantes segun si solo puede leer, leer y escribir, etc.;DVD-ROM, DVD-RAM, etc. La capacidad de un DVD va desde los 4,7 Gb (una cara, una capa) hasta los 17 Gb (doble cara, doble capa). En el caso de los DVD grabables, esta capacidad puede disminuir hasta los 2,6 Gb por el mayor tamanyo de los "surcos".
DX;Variante de los procesadores 80386 y 80486.
DX2;Variante de los procesadores 80486.
DX4;Variante de los procesadores 80486.
ED;Extra densidad (Extra Density). En el caso de diskettes de 3 1/2", la expresion Extra Densidad hace referencia a que tienen una capacidad de 2.88 Mb (formateado; poco frecuente).
EDO RAM;Un tipo de memoria RAM frecuente en los ultimos 486 y primeros Pentium (Extended Data Out RAM), posterior a FastPage y anterior a SDRAM.
EEPROM;Memoria ROM borrable y programable electricamente (Electrically Erasable Programmable ROM).
EGA;Adaptador grafico mejorado (Enhanced Graphics Adapter). Tarjeta grafica de ordenadores PC y compatibles, evolucion de la CGA, que permitia trabajar tambien a 16 colores con 320x200, 640x200 y 640x350 puntos.
EIDE;Ver IDE.
Eiffel;Lenguaje de programacion orientado a objetos.
EISA;Tipo de arquitectura estandar de placas base, con ranuras de ampliacion de 32 bits, basada en ISA y hoy en dia abandonada (Enhanced ISA).
Ejecutable;Un programa que se puede "ejecutar" o usar "por si solo", sin que haga falta tener una cierta aplicacion informatica desde la que manejarlo (para mas detalles, ver Compilador).
Ejecutar;En informatica, la palabra "ejecutar" (en ingles RUN) equivale a poner un programa en funcionamiento.
E-mail;correo electronico (electronic mail). Mensajes (normalmente privados) enviados a traves de una red de ordenadores.
EMS;Ver memoria expandida.
Ensamblador;Lenguaje de programacion bajo nivel, muy cercano al codigo maquina. Su sintaxis depende por completo del tipo de ordenador que se este usando.
EPROM;Memoria ROM borrable y programable (Erasable Programmable ROM). Se borran con luz ultravioleta (una exposicion de unos 15-20 minutos).
Epson;Conocido fabricante de impresoras, ordenadores y otros tipos de hardware.
E/S;Entrada/salida (se suelen usar las siglas en ingles I/O).
Excel;Aplicacion de hoja de calculo realizada por Microsoft.
EXE;Es la extension que corresponde a un tipo de fichero ejecutable bajo MsDos, OS/2  y/o Windows.
Expandida (memoria);Una de las convenciones que surgieron sobre como acceder a la memoria por encima de 1 Mb desde el sistema operativo DOS, algo para lo que inicialmente no estaba disenyado. Era incompatible con la otra propuesta de estandar, la memoria extendida, que fue la mas utilizada. La especificacion recibio el nombre de LIM/EMS (LIM es la abreviatura de las casas de software que la propusieron;Lotus-Intel-Microsoft)..
Extendida (memoria);Una de las convenciones que surgieron sobre como acceder a la memoria por encima de 1 Mb desde el sistema operativo DOS, algo para lo que inicialmente no estaba disenyado. Era incompatible con la otra propuesta de estandar, la memoria expandida, que fue menos utilizada. La especificacion recibio el nombre de XMS.
Extension;En sistemas operativos como MsDos y Windows, es frecuente que el nombre de un fichero este formado por dos partes, separadas por un punto. La primera parte (limitada en Dos a 8 letras de longitud) es el nombre propiamente dicho; la segunda parte (hasta 3 letras, en Dos) es la extension, que suele indicar el tipo de informacion que guarda ese fichero.
FAQ;Recopilacion de preguntas frecuentes sobre un cierto tema y sus respuestas (Frequently Asked Questions).
Fast Page RAM;Tipo de memoria RAM, anterior a la EDO, que era habitual en los primeros 486.
FAT;Tabla de situacion de ficheros (File Allocation Table), algo asi como un indice de que datos hay en una unidad de disco, y donde estan situados dichos datos.
Fax;Aparato disenyado para enviar y recibir imagenes en blanco y negro a traves de la linea telefonica. El nombre es una abreviatura de FacSimil.
Fichero;Conjunto de informacion que se almacena para consultarse o utilizarse posteriormente. En un ordenador, normalmente cada fichero debera tener un nombre con el que hacer referencia a el.
Fija (coma);ver Coma.
File;Fichero, en ingles.
Firewire;Nombre comercial de IEEE 1394, un nuevo tipo de conexion digital, que permite velocidades a partir de 100 Mbps (millones de bits por segundo), y se pretende que llegue hasta los 400 MBps (millones de bytes por segundo).
Firmware;Es el "software que esta dentro del hardware". Se refiere a los programas grabados en memorias ROM.
Flotante (coma);ver Coma.
Floppy;Ver diskette.
Forth;Lenguaje de programacion.
Fortran;Lenguaje de programacion, orientado a ingenieria (FORmula TRANslator).
FoxPro;Gestor de bases de datos, realizado por Microsoft.
FPU;Coprocesador matematico (Floating Point Unit).
FreeBSD;Sistema operativo UNIX de libre distribucion.
Freeware;Aplicacion informatica que se puede copiar y distribuir libremente, y cuyo uso es gratis.
FrontPage;Programa de creacion de paginas Web, desarrollado por Microsoft.
FTP;Protocolo estandar en Internet para transferencia de ficheros (File Transfer Protocol). Tambien se suele usar este nombre para designar los programas de envio y recepcion de ficheros que se apoyan en este protocolo.
Fuente;Programa escrito en un lenguaje de programacion, antes de convertirse a ejecutable (ver Compilador) // Fuente;Tipo de letra (nomenclatura empleada por Windows).
Fujitsu;Conocido fabricante de ordenadores, impresoras, discos duros y otros tipos de hardware.
Gb;Abreviatura de GigaByte.
GEM;Entorno grafico desarrollado por Digital Research (Graphic Environment Manager). En el mundo de los compatibles PC fue desbancado por Windows, que es el estandar actual.
GIF;Es la Extension que corresponde a un tipo de fichero grafico de mapa de bits (Graphics Interchange Format).
GigaByte;Multiplo del byte;un gigabyte son 1.024 MegaBytes, cerca de 1.000 millones de bytes.
GMT;Hora media en Greenwich (Greenwich Mean Time). No es un concepto exclusivo de informatica, pero aparece en la configuracion horaria de muchos programas y sistemas operativos. Por ejemplo, la hora en Madrid es GMT+1.
GUI;Interfaz grafica de usuario (Graphical User Interface).
Hacker;Entusiasta de la informatica. La palabra se suele usar para indicar tambien un cierto intrusismo;un hacker es una persona que siempre esta deseando aprender y superar nuevos retos, entre los que se pueden encontrar el acceder a un cierto sistema teoricamente cerrado. Pero esto no quiere decir que se haga con malicia, sino por el propio reto en si. Cuando se trata de alguien con intenciones maliciosas se suele emplear la palabra "cracker".
Hardware;La parte "que se puede tocar" de un ordenador;caja (y todo su contenido), teclado, pantalla, etc.
Hayes;conocido fabricante de modems, el creador de los comandos AT.
HD;Disco duro (Hard Disk) // HD;Alta densidad (High Density). En el caso de diskettes de 3 1/2", la expresion Alta Densidad hace referencia a que tienen una capacidad de 1.44 Mb (formatedo; 2 Mb nominales).
Hercules;Fabricante de tarjetas graficas para ordenador. Frecuentemente se usa la palabra "Hercules" para hacer referencia a la primera tarjeta que creo este fabricante para los ordenadores IBM PC, que era capaz de mostrar 720x348 puntos en blanco y negro.
Hewlett-Packard;Prestigioso fabricante de hardware de casi todo tipo;ordenadores, impresoras laser y de inyeccion, plotters, etc.
Hexadecimal; sistema de numeracion en base 16. Se emplean las cifras del 0 al 9 y las letras A a F (A=10, B=11, C=12, D=13, E=14, F=15), y cada posicion de un numero indica una potencia de 16. Por ejemplo, el numero decimal 270 convertido a octal quedaria 10E (1x256 + 0x16 + 14x1).
Hipertexto;En un texto clasico, la estructura es totalmente lineal;se lee de principio a fin; en un hipertexto, se pretende poder romper esa estructura lineal, mediante "enlaces" (tambien llamados "Vinculos" o "Hipervinculos") que permiten saltar a otros temas relacionados, donde encontrar informacion ampliada. Las paginas Web de Internet (como esta) son un ejemplo claro de Hipertexto
Hipervinculo;ver Hipertexto.
HLP;Extension de los ficheros de ayuda (HeLP).
Hoja de calculo;Aplicacion informatica que permite manipular datos numericos;hacer todo tipo de operaciones con ellos, mostrar graficos, etc.
HP;Abreviatura de Hewlett-Packard.
HPGL;Lenguaje grafico disenyado por Hewlett-Packard para sus plotters (Hewlett-Packard Graphics Language).
HSP;Nombre que reciben los modems que no tienen procesador digital de senyal (DSP), sino que esta mision es realizada por el ordenador al que estan conectados. Por ello, son ser mas baratos, pero tambien suelen dar un rendimiento inferior y no funcionar con cualquier sistema operativo porque necesitan un controlador especifico (Host Signal Processor).
HTM;Extension bajo MsDos de los ficheros de tipo HTML.
HTML;HyperText Markup Language;el lenguaje de descripcion de paginas habitual en Internet.
HTTP;El protocolo usado en las paginas del WWW (HyperText Transfer Protocol).
IA;Siglas en espanyol de Inteligencia Articial.
IBM;Importante fabricante de ordenadores y de software (International Business Machines).
IDE;Uno de los estandares en conexion de discos duros y dispositivos similares. Existe una variante mejorada, mas rapida, llamada EIDE. // IDE;Entorno integrado de desarrollo;un entorno desde el que se pueden editar programas, compilarlos y depurarlos (Integrated Development Environment).
IEEE;Instituto de Ingenieros Electricos y Electronicos, una institucion americana responsable de la creacion de una gran cantidad de estandares en electronica e informatica.
IEEE 1394;Ver Firewire.
IIOP;Internet InterORB Protocol, un protcolo de comunicacion entre ORBs en Internet.
iMac;Ordenador desarrollado por Apple en 1998, que inicialmente estaba equipado con un procesador PowerPC G3 a 233 MHz, 32 Mb de memoria SDRAM, disco duro de 4 Gb, CdRom de 24x, monitor de 15 pulgadas, modem de 56 Kbps, etc.
Impresora;Dispositivo encargado de volcar a papel la informacion que maneja un ordenador. Hoy en dia las mas habituales son las de inyeccion, las laser y las matriciales, si bien existen otros muchos tipos, como las de margarita, las termicas, las de sublimacion, etc.
Inkjet;ver inyeccion.
Inprise;Ver Borland.
Integrado. Ver suite.
Intel;Conocido fabricante de procesadores, creador de la gama X86.
Interface;Ver Interfaz.
